17:00:33.049970 IP 112.26.0.8.36626 > 112.26.0.1.targus-getdata1: Flags [S], seq 2988296203, win 29200, options [mss 1460,sackOK,TS val 4294812145 ecr 0,nop,wscale 7,mptcp capable csum {0x8701148e479d40e2}], length 0
17:00:33.063434 IP 112.26.0.8.36626 > 112.26.0.1.targus-getdata1: Flags [S], seq 2988296203, win 29200, options [mss 1460,sackOK,TS val 4294812145 ecr 0,nop,wscale 7,mptcp capable csum {0x8701148e479d40e2}], length 0
17:00:33.142659 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36626: Flags [S.], seq 2270931063, ack 2988296204, win 65535, options [mss 1460,sackOK,TS val 66611 ecr 4294812145,nop,wscale 6,mptcp capable csum {0xad3b304b2196ec90}], length 0
17:00:33.358675 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36626: Flags [S.], seq 2270931063, ack 2988296204, win 65535, options [mss 1460,sackOK,TS val 66611 ecr 4294812145,nop,wscale 6,mptcp capable csum {0xad3b304b2196ec90}], length 0
17:00:34.140183 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36626: Flags [S.], seq 2270931063, ack 2988296204, win 65535, options [mss 1460,sackOK,TS val 67648 ecr 4294812145,nop,wscale 6,mptcp capable csum {0xad3b304b2196ec90}], length 0
17:00:34.252137 IP 112.26.0.8.36626 > 112.26.0.1.targus-getdata1: Flags [.], ack 1, win 229, options [nop,nop,TS val 4294812496 ecr 66611,mptcp capable csum {0x8701148e479d40e2,0xad3b304b2196ec90},mptcp dss ack 116031157], length 0
17:00:34.256316 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36626: Flags [.], ack 1, win 1339, options [nop,nop,TS val 67800 ecr 4294812496,mptcp add-addr id 3 112.26.1.1,mptcp dss ack 2376860366], length 0
17:01:09.140925 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 1632788631, win 24558, options [nop,nop,TS val 102687 ecr 4294847051,nop,nop,sack 1 {1429:14281},mptcp dss ack 3983983791], length 0
17:01:09.163645 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 1, win 24558, options [nop,nop,TS val 102454 ecr 4294847051,nop,nop,sack 1 {1429:9997},mptcp dss ack 3983983791], length 0
17:01:09.173674 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 1, win 24558, options [nop,nop,TS val 102454 ecr 4294847051,nop,nop,sack 1 {1429:9997},mptcp dss ack 3983983791], length 0
17:01:09.192725 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 1, win 24558, options [nop,nop,TS val 102736 ecr 4294847051,nop,nop,sack 1 {1429:15709},mptcp dss ack 3983983791], length 0
17:01:09.219332 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 1, win 24558, options [nop,nop,TS val 102534 ecr 4294847051,nop,nop,sack 1 {1429:11425},mptcp dss ack 3983983791], length 0
17:01:09.223427 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 1, win 24558, options [nop,nop,TS val 102534 ecr 4294847051,nop,nop,sack 1 {1429:11425},mptcp dss ack 3983983791], length 0
17:01:28.980426 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 122268 ecr 4294866988,nop,nop,sack 1 {355573:357001},mptcp dss ack 3984773475], length 0
17:01:29.010349 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 122557 ecr 4294866988,nop,nop,sack 1 {355573:362713},mptcp dss ack 3984773475], length 0
17:01:29.034667 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 122340 ecr 4294866988,nop,nop,sack 1 {355573:358429},mptcp dss ack 3984773475], length 0
17:01:29.036330 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 122340 ecr 4294866988,nop,nop,sack 1 {355573:358429},mptcp dss ack 3984773475], length 0
17:01:29.096547 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 122634 ecr 4294866988,nop,nop,sack 1 {355573:364141},mptcp dss ack 3984773475], length 0
17:01:29.099639 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 122418 ecr 4294866988,nop,nop,sack 1 {355573:359857},mptcp dss ack 3984773475], length 0
17:01:29.101366 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 122418 ecr 4294866988,nop,nop,sack 1 {355573:359857},mptcp dss ack 3984773475], length 0
17:01:29.166866 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 122489 ecr 4294866988,nop,nop,sack 1 {355573:361285},mptcp dss ack 3984773475], length 0
17:01:29.171126 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 122489 ecr 4294866988,nop,nop,sack 1 {355573:361285},mptcp dss ack 3984773475], length 0
17:01:29.238001 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 122557 ecr 4294866988,nop,nop,sack 1 {355573:362713},mptcp dss ack 3984773475], length 0
17:01:29.239266 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 122557 ecr 4294866988,nop,nop,sack 1 {355573:362713},mptcp dss ack 3984773475], length 0
17:01:29.242374 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 122634 ecr 4294866988,nop,nop,sack 1 {355573:364141},mptcp dss ack 3984773475], length 0
17:01:29.338788 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 122885 ecr 4294866988,nop,nop,sack 1 {355573:365569},mptcp dss ack 3984773475], length 0
17:01:29.389561 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 122936 ecr 4294866988,nop,nop,sack 1 {355573:366997},mptcp dss ack 3984773475], length 0
17:01:29.499203 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 122885 ecr 4294866988,nop,nop,sack 1 {355573:365569},mptcp dss ack 3984773475], length 0
17:01:29.558427 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 122936 ecr 4294866988,nop,nop,sack 1 {355573:366997},mptcp dss ack 3984773475], length 0
17:01:29.600131 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 123145 ecr 4294866988,nop,nop,sack 1 {355573:368425},mptcp dss ack 3984773475], length 0
17:01:29.670551 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 123205 ecr 4294866988,nop,nop,sack 1 {355573:369853},mptcp dss ack 3984773475], length 0
17:01:29.722969 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 369853, win 24469, options [nop,nop,TS val 123258 ecr 4294868240,mptcp dss ack 3984773475], length 0
17:01:29.780781 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 371281, win 24469, options [nop,nop,TS val 123327 ecr 4294868374,mptcp dss ack 3984773475], length 0
17:01:29.874035 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 123145 ecr 4294866988,nop,nop,sack 1 {355573:368425},mptcp dss ack 3984773475], length 0
17:01:29.914260 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 354145, win 24469, options [nop,nop,TS val 123205 ecr 4294866988,nop,nop,sack 1 {355573:369853},mptcp dss ack 3984773475], length 0
17:01:30.039942 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 372709, win 24469, options [nop,nop,TS val 123543 ecr 4294868696,mptcp dss ack 3984773475], length 0
17:01:30.052764 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 369853, win 24469, options [nop,nop,TS val 123258 ecr 4294868240,mptcp dss ack 3984773475], length 0
17:01:30.161971 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 374137, win 24469, options [nop,nop,TS val 123703 ecr 4294868708,mptcp dss ack 3984773475], length 0
17:01:30.166437 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 374137, win 24469, options [nop,nop,TS val 123703 ecr 4294868708,mptcp dss ack 3984773475], length 0
17:01:30.168866 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 374137, win 24469, options [nop,nop,TS val 123703 ecr 4294868708,mptcp dss ack 3984773475], length 0
17:01:30.287820 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 371281, win 24469, options [nop,nop,TS val 123327 ecr 4294868374,mptcp dss ack 3984773475], length 0
17:01:30.345196 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 375565, win 24469, options [nop,nop,TS val 123886 ecr 4294869052,mptcp dss ack 3984773475], length 0
17:01:30.349125 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 375565, win 24469, options [nop,nop,TS val 123886 ecr 4294869052,mptcp dss ack 3984773475], length 0
17:01:30.354309 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 375565, win 24469, options [nop,nop,TS val 123886 ecr 4294869052,mptcp dss ack 3984773475], length 0
17:01:30.388849 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 376993, win 24469, options [nop,nop,TS val 123936 ecr 4294869065,mptcp dss ack 3984773475], length 0
17:01:30.415791 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 376993, win 24469, options [nop,nop,TS val 123936 ecr 4294869065,mptcp dss ack 3984773475], length 0
17:01:30.418472 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 376993, win 24469, options [nop,nop,TS val 123936 ecr 4294869065,mptcp dss ack 3984773475], length 0
17:01:30.477992 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 372709, win 24469, options [nop,nop,TS val 123543 ecr 4294868696,mptcp dss ack 3984773475], length 0
17:01:30.513196 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 378421, win 24469, options [nop,nop,TS val 124060 ecr 4294869191,mptcp dss ack 3984773475], length 0
17:01:30.517167 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 378421, win 24469, options [nop,nop,TS val 124060 ecr 4294869191,mptcp dss ack 3984773475], length 0
17:01:30.519190 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 378421, win 24469, options [nop,nop,TS val 124060 ecr 4294869191,mptcp dss ack 3984773475], length 0
17:01:30.589708 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 379849, win 24469, options [nop,nop,TS val 124111 ecr 4294869307,mptcp dss ack 3984773475], length 0
17:01:30.599369 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 379849, win 24469, options [nop,nop,TS val 124111 ecr 4294869307,mptcp dss ack 3984773475], length 0
17:01:30.602816 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 379849, win 24469, options [nop,nop,TS val 124111 ecr 4294869307,mptcp dss ack 3984773475], length 0
17:01:30.650287 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 381277, win 24469, options [nop,nop,TS val 124181 ecr 4294869307,mptcp dss ack 3984773475], length 0
17:01:30.663632 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 381277, win 24469, options [nop,nop,TS val 124181 ecr 4294869307,mptcp dss ack 3984773475], length 0
17:01:30.666523 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 381277, win 24469, options [nop,nop,TS val 124181 ecr 4294869307,mptcp dss ack 3984773475], length 0
17:01:30.719543 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 382705, win 24469, options [nop,nop,TS val 124266 ecr 4294869307,mptcp dss ack 3984773475], length 0
17:01:30.756825 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 382705, win 24469, options [nop,nop,TS val 124266 ecr 4294869307,mptcp dss ack 3984773475], length 0
17:01:30.758058 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 382705, win 24469, options [nop,nop,TS val 124266 ecr 4294869307,mptcp dss ack 3984773475], length 0
17:01:30.793587 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 384133, win 24469, options [nop,nop,TS val 124341 ecr 4294869307,mptcp dss ack 3984773475], length 0
17:01:30.801625 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 384133, win 24469, options [nop,nop,TS val 124341 ecr 4294869307,mptcp dss ack 3984773475], length 0
17:01:30.803043 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 384133, win 24469, options [nop,nop,TS val 124341 ecr 4294869307,mptcp dss ack 3984773475], length 0
17:01:30.872838 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 385561, win 24469, options [nop,nop,TS val 124420 ecr 4294869489,mptcp dss ack 3984773475], length 0
17:01:30.874761 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 385561, win 24469, options [nop,nop,TS val 124420 ecr 4294869489,mptcp dss ack 3984773475], length 0
17:01:30.878717 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 385561, win 24469, options [nop,nop,TS val 124420 ecr 4294869489,mptcp dss ack 3984773475], length 0
17:01:30.975287 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 386989, win 24469, options [nop,nop,TS val 124500 ecr 4294869557,mptcp dss ack 3984773475], length 0
17:01:30.977412 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 386989, win 24469, options [nop,nop,TS val 124500 ecr 4294869557,mptcp dss ack 3984773475], length 0
17:01:30.980236 IP 112.26.0.1.targus-getdata1 > 112.26.0.8.36628: Flags [.], ack 386989, win 24469, options [nop,nop,TS val 124500 ecr 4294869557,mptcp dss ack 3984773475], length 0
